title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
Adrenaline Rush: The Science of Risk (IMAX),N/A,N/A,"$15,418,200",Giant Screen Films,"October 18, 2002",IMAX,0 hrs. 40 min.,Unrated,N/A,"$10,994,028",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adventures of American Rabbit,N/A,N/A,"$3,087,300",Atlantic,"January 17, 1986",Unknown,1 hrs. 22 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Adventures of Buckaroo Banzai,N/A,N/A,"$16,808,000",Fox,"August 10, 1984",Unknown,1 hrs. 43 min.,PG,N/A,N/A,Jamie Lee Curtis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Adventures of Felix,N/A,N/A,"$579,800",Wellspring,"June 15, 2001",Foreign,1 hrs. 35 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adventures of Milo and Otis (Re-issue),N/A,N/A,"$22,098,000",Columbia,"June 15, 1990",Family Adventure,1 hrs. 15 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Adventures of Rocky &amp; Bullwinkle,N/A,N/A,"$43,568,200",Universal,"June 30, 2000",Family Comedy,1 hrs. 32 min.,PG,$76 million,"$35,134,820",Rene Russo,Piper Perabo,Randy Quaid,Robert DeNiro,Taraji P. Henson*,N/A,Tiffany Ward,N/A,N/A,N/A,N/A,N/A,Kenneth Lonergan,N/A,Mark Mothersbaugh,N/A
The Adventures of Sharkboy and Lavagirl in 3D,Robert Rodriguez,N/A,"$55,191,000",Dimension Films,"June 10, 2005",Family Adventure,1 hrs. 34 min.,PG,N/A,"$69,425,966",Taylor Lautner,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Robert Rodriguez,N/A,Graeme Revell,N/A
Aeon Flux,Karyn Kusama,N/A,"$36,415,000",Paramount,"December 2, 2005",Sci-Fi Action,1 hrs. 35 min.,PG-13,$62 million,"$52,304,001",Charlize Theron,Frances McDormand,Sophie Okonedo,N/A,N/A,N/A,Gale Anne Hurd,Gary Lucchesi,Tom Rosenberg,N/A,N/A,N/A,Phil Hay,Matt Manfredi,Graeme Revell,N/A
Afflicted (2014),N/A,N/A,"$131,400",CBS Films,"April 4, 2014",Horror,1 hrs. 25 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Africa's Elephant Kingdom (IMAX),N/A,N/A,"$23,269,000",IMAX,"May 1, 1998",IMAX,0 hrs. 40 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
After Dark's Horror Fest: 8 Films to Die For,N/A,N/A,"$3,550,000",Freestyle Releasing,"November 17, 2006",Horror,1 hrs. 34 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
After Dark's Horrorfest 2,N/A,N/A,"$1,148,000",After Dark Films,"November 9, 2007",Horror,1 hrs. 30 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
After Freedom,N/A,N/A,"$51,800",Vitagraph,"May 14, 2004",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
After the Life: Trilogy 3,N/A,N/A,"$39,600",Magnolia,"February 13, 2004",Foreign,2 hrs. 4 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Afterlight,N/A,N/A,"$3,500",Cinema Purgatorio,"September 10, 2010",Drama / Thriller,1 hrs. 27 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aftermath (2014),N/A,N/A,"$3,800",Freestyle Releasing,"November 28, 2014",Crime Thriller,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Afternoon of a Faun,N/A,N/A,"$192,600",Kino Lorber,"February 5, 2014",Documentary,1 hrs. 31 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aftershock (Tangshan Dadizhen),N/A,N/A,"$71,000",China Lion,"October 29, 2010",Foreign,2 hrs. 15 min.,Unrated,N/A,"$100,292,829",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Age of Uprising: The Legend of Michael Kohlhaas (U.S. only),N/A,N/A,"$3,600",Music Box Films,"May 30, 2014",Foreign,2 hrs. 2 min.,Unrated,N/A,"$800,313",Mads Mikkelsen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agnivarsha - The Fire and the Rain,N/A,N/A,"$80,100",Cinebella,"August 30, 2002",Unknown,2 hrs. 9 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ahead of Time,N/A,N/A,"$38,600",Vitagraph,"September 10, 2010",Documentary,1 hrs. 13 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aida at La Scala,N/A,N/A,"$280,400",Emerging Pictures,"December 9, 2007",Concert,2 hrs. 52 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aileen: The Life and Death of a Serial Killer,N/A,N/A,"$141,600",Lantern Lane,"January 9, 2004",Documentary,1 hrs. 29 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aimee &amp; Jaguar,N/A,N/A,"$1,553,200",Zeitgeist,"August 11, 2000",Foreign,2 hrs. 5 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Akira (Re-issue),N/A,N/A,"$181,900",Pioneer,"March 30, 2001",Animation,2 hrs. 4 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Akira Kurosawa's Dreams,N/A,N/A,"$4,191,000",Warner Bros.,"August 24, 1990",Foreign,2 hrs. 0 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Al Franken: God Spoke,N/A,N/A,"$142,000",Balcony Releasing,"September 13, 2006",Documentary,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Alamo (2004),John Lee Hancock,N/A,"$32,593,700",Buena Vista,"April 9, 2004",War,2 hrs. 17 min.,PG-13,$107 million,"$25,819,961",Billy Bob Thornton,Dennis Quaid,Patrick Wilson,N/A,N/A,N/A,Ron Howard,Mark Johnson,N/A,N/A,N/A,N/A,Leslie Bohem,Stephen Gaghan,Carter Burwell,N/A
Alan Partridge: The Movie,N/A,N/A,"$166,300",Magnolia,"April 4, 2014",Comedy,1 hrs. 30 min.,R,N/A,"$9,727,099",Steve Coogan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ilan Eshkeri,N/A
An Alan Smithee Film: Burn Hollywood Burn,N/A,N/A,"$88,100",Buena Vista,"February 27, 1998",Comedy,1 hrs. 26 min.,R,N/A,"$52,850",Jackie Chan*,Sylvester Stallone*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Joe Eszterhas,N/A,N/A,N/A
Alex and Emma,Rob Reiner,N/A,"$21,292,700",Warner Bros.,"June 20, 2003",Romantic Comedy,1 hrs. 40 min.,PG-13,$30 million,"$15,368,897",Kate Hudson,Luke Wilson,N/A,N/A,N/A,N/A,Todd Black,Jason Blumenthal,Steve Tisch,N/A,N/A,N/A,Jeremy Leven,N/A,Marc Shaiman,N/A
Alex Rider: Operation Stormbreaker,Geoffrey Sax,N/A,"$934,200",Weinstein Company,"October 6, 2006",Action / Adventure,1 hrs. 33 min.,PG,N/A,"$23,937,870",Ewan McGregor,Sophie Okonedo,Alex Pettyfer,Mickey Rourke,Andy Serkis,Alicia Silverstone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alias Betty,N/A,N/A,"$322,000",Wellspring,"September 13, 2002",Unknown,1 hrs. 41 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alice et Martin,N/A,N/A,"$839,100",USA Films,"July 21, 2000",Unknown,2 hrs. 3 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alice in Wonderland (2010),Tim Burton,N/A,"$380,181,000",Buena Vista,"March 5, 2010",Family Adventure,1 hrs. 49 min.,PG,$200 million,"$1,025,467,110",Mia Wasikowska,Johnny Depp,Helena Bonham Carter,Anne Hathaway,Michael Sheen,Alan Rickman,Joe Roth,N/A,N/A,N/A,N/A,N/A,Linda Woolverton,N/A,Danny Elfman,N/A
Alice Neel,N/A,N/A,"$64,300",SeeThink Productions,"April 20, 2007",Documentary,1 hrs. 21 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alice's House (A Casa de Alice),N/A,N/A,"$77,800",Vitagraph,"January 25, 2008",Foreign,1 hrs. 32 min.,Unrated,N/A,"$193,531",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alien 3,David Fincher,N/A,"$120,705,100",Fox,"May 22, 1992",Sci-Fi Horror,1 hrs. 54 min.,R,$50 million,"$159,814,498",Sigourney Weaver,Lance Henriksen,N/A,N/A,N/A,N/A,Gordon Carroll,David Giler,Walter Hill,N/A,N/A,N/A,N/A,N/A,Elliot Goldenthal,N/A
Alien Adventure (IMAX),N/A,N/A,"$12,927,900",N Wave,"August 20, 1999",IMAX,0 hrs. 35 min.,Unrated,N/A,"$24,074,680",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alien Vs. Predator,Paul W.S. Anderson,N/A,"$116,738,900",Fox,"August 13, 2004",Sci-Fi Horror,1 hrs. 27 min.,PG-13,$60 million,"$172,544,654",Ewen Bremner,Sanaa Lathan,Lance Henriksen,N/A,N/A,N/A,Gordon Carroll,John Davis,David Giler,Wyck Godfrey,Thomas M. Hammel,Walter Hill,Paul W.S. Anderson,N/A,Harald Kloser,N/A
Alien: The Director's Cut,N/A,N/A,"$2,975,400",Fox,"October 29, 2003",Sci-Fi Horror,1 hrs. 56 min.,R,N/A,"$83,944,003",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aliens of the Deep (IMAX),James Cameron,Steven Quale,"$12,575,600",Buena Vista,"January 28, 2005",IMAX,0 hrs. 47 min.,G,N/A,"$12,770,637",N/A,N/A,N/A,N/A,N/A,N/A,James Cameron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aliens Vs. Predator - Requiem,Greg Strause,N/A,"$53,489,500",Fox,"December 25, 2007",Sci-Fi Horror,1 hrs. 26 min.,R,N/A,"$128,884,494",N/A,N/A,N/A,N/A,N/A,N/A,John Davis,N/A,N/A,N/A,N/A,N/A,Shane Salerno,N/A,Brian Tyler,N/A
All About Eve (re-issue),N/A,N/A,"$106,300",Fox Searchlight,"October 6, 2000",Drama,2 hrs. 18 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
All Access: Front Row. Backstage. Live! (IMAX),N/A,N/A,"$1,583,700",IMAX,"April 6, 2001",IMAX,1 hrs. 5 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
All The Rage: Saved by Sarno,N/A,N/A,"$18,700",The Film Collaborative,"June 23, 2017",Documentary,1 hrs. 32 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"All's Well, End's Well (2012)",N/A,N/A,"$54,600",China Lion,"January 27, 2012",Foreign,1 hrs. 55 min.,Unrated,N/A,"$47,919",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Allegiance To Broadway (2018),N/A,N/A,"$18,500",Fathom,"December 4, 2018",Documentary,1 hrs. 25 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alleluia,N/A,N/A,"$6,900",Music Box Films,"July 17, 2015",Thriller,1 hrs. 33 min.,Unrated,N/A,"$6,334",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Almost Salinas,N/A,N/A,"$32,100",Strata Prods.,"May 9, 2003",Unknown,1 hrs. 32 min.,PG,N/A,N/A,Virginia Madsen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aloft,N/A,N/A,"$57,900",Sony Classics,"May 22, 2015",Drama,1 hrs. 52 min.,R,N/A,N/A,Jennifer Connelly,Cillian Murphy,Melanie Laurent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alphaville (2013 re-release),N/A,N/A,"$53,000",Rialto,"February 7, 2014",Foreign,1 hrs. 39 min.,Unrated,N/A,"$47,696",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Already Tomorrow in Hong Kong,N/A,N/A,"$22,300",Gravitas Ventures,"February 12, 2016",Romantic Comedy,1 hrs. 18 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amadeus (Director's Cut),N/A,N/A,"$635,300",Warner Bros.,"April 5, 2002",Unknown,3 hrs. 8 min.,R,N/A,"$51,973,029",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amanda &amp; Jack Go Glamping,N/A,N/A,"$3,300",Orion Pictures,"November 10, 2017",Romantic Comedy,1 hrs. 34 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amandla!,N/A,N/A,"$607,000",Artisan,"February 19, 2003",Unknown,1 hrs. 43 min.,PG-13,N/A,"$405,331",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
An Amazing Couple: Trilogy 2,N/A,N/A,"$69,500",Magnolia,"February 6, 2004",Foreign,1 hrs. 40 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amelie,Jean-Pierre Jeunet,N/A,"$52,241,500",Miramax,"November 2, 2001",Foreign,2 hrs. 2 min.,R,$10 million,"$173,921,954",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jean-Pierre Jeunet,N/A,N/A,N/A
America (2014),Dinesh D'Souza,John Sullivan,"$16,142,800",Lionsgate,"June 27, 2014",Documentary,1 hrs. 43 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dinesh D'Souza,Gerald R. Molen,N/A,N/A,N/A,N/A,Dinesh D'Souza,John Sullivan,N/A,N/A
American Mustang,N/A,N/A,"$54,800",Vitagraph,"January 17, 2014",Family,N/A,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Ninja 2,N/A,N/A,"$9,237,900",Cannon Films,"May 1, 1987",Action,1 hrs. 29 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Socialist: The Life &amp; Times of Eugene Victor Debs,N/A,N/A,"$12,100",First Run,"March 2, 2018",Documentary,1 hrs. 37 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Ultra,Nima Nourizadeh,N/A,"$15,801,300",Lionsgate,"August 21, 2015",Action Comedy,1 hrs. 36 min.,R,$28 million,"$27,139,524",Jesse Eisenberg,Kristen Stewart,Topher Grace,John Leguizamo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Max Landis,N/A,N/A,N/A
Amira &amp; Sam,N/A,N/A,"$35,400",Drafthouse,"January 30, 2015",Romantic Comedy,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,James Ponsoldt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Amityville Horror (2005),N/A,N/A,"$91,896,600",MGM,"April 15, 2005",Horror,1 hrs. 29 min.,R,$19 million,"$108,047,131",Ryan Reynolds,Chloe Moretz,N/A,N/A,N/A,N/A,Michael Bay,Randall Emmett,Ted Field,Andrew Form,Brad Fuller,George Furla,N/A,N/A,Steve Jablonsky,N/A
Amos &amp; Andrew,N/A,N/A,"$21,257,200",Columbia,"March 5, 1993",Crime Comedy,1 hrs. 36 min.,PG-13,N/A,N/A,Nicolas Cage,Samuel L. Jackson,N/A,N/A,N/A,N/A,Gary Goetzman,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amos Kolleck's Bad Girls,N/A,N/A,"$30,900",Castle Hill,"January 28, 1994",Unknown,1 hrs. 25 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amour Fou,N/A,N/A,"$15,000",Film Movement,"March 18, 2015",Foreign,1 hrs. 36 min.,Unrated,N/A,"$13,702",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anatahan (2017 re-release),N/A,N/A,"$8,200",Kino Lorber,"February 3, 2017",War,1 hrs. 32 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anchorman 2 (R-Rated Extended Cut),N/A,N/A,"$2,478,000",Paramount,"February 28, 2014",Comedy,2 hrs. 23 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
And God Spoke,N/A,N/A,"$126,300",Artisan,"September 23, 1994",Unknown,1 hrs. 22 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
And Now Ladies and Gentlemen,N/A,N/A,"$1,103,500",Paramount Classics,"August 1, 2003",Romance,2 hrs. 6 min.,PG-13,N/A,"$736,872",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrei Rublev (re-release),N/A,N/A,"$104,000",Janus Films,"August 24, 2018",Drama,3 hrs. 3 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrei Tarkovsky Retrospective,N/A,N/A,"$269,600",Kino,"September 13, 2002",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anesthesia,N/A,N/A,"$33,800",IFC,"January 8, 2016",Drama / Thriller,1 hrs. 30 min.,R,N/A,"$32,163",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Angels &amp; Demons,Ron Howard,N/A,"$161,445,600",Sony / Columbia,"May 15, 2009",Thriller,2 hrs. 20 min.,PG-13,$150 million,"$485,930,816",Tom Hanks,Ewan McGregor,Stellan Skarsgard,N/A,N/A,N/A,Brian Grazer,Ron Howard,N/A,N/A,N/A,N/A,Akiva Goldsman,N/A,Hans Zimmer,N/A
Angels in the Outfield (1994),N/A,N/A,"$108,526,000",Buena Vista,"July 15, 1994",Family Comedy,1 hrs. 43 min.,PG,N/A,N/A,Joseph Gordon-Levitt,Danny Glover,Matthew McConaughey*,Adrien Brody*,N/A,N/A,Roger Birnbaum,Joe Roth,N/A,N/A,N/A,N/A,N/A,N/A,Randy Edelman,N/A
Animal Behavior,N/A,N/A,"$94,500",Miramax,"October 27, 1989",Unknown,1 hrs. 25 min.,PG,N/A,N/A,Holly Hunter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cliff Eidelman,N/A
Animal House (1979 re-issue),N/A,N/A,"$77,380,500",Universal,"September 21, 1979",Comedy,1 hrs. 49 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Animals (2015),N/A,N/A,"$22,900",Oscilloscope Pictures,"May 15, 2015",Drama,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Animation Show,N/A,N/A,"$347,300",Animation Show,"February 18, 2005",Animation,1 hrs. 25 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Animation Show,N/A,N/A,"$541,100",Animation Show,"September 5, 2003",Unknown,1 hrs. 34 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anna (1987),N/A,N/A,"$2,856,500",Vestron,1987,Unknown,1 hrs. 41 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anna Karenina (1997),N/A,N/A,"$1,689,000",Warner Bros.,"April 4, 1997",Romance,1 hrs. 48 min.,PG-13,N/A,N/A,Sean Bean,Alfred Molina,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Annie (2014),Will Gluck,N/A,"$94,834,400",Sony / Columbia,"December 19, 2014",Musical,1 hrs. 58 min.,PG,$65 million,"$133,821,816",Jamie Foxx,Quvenzhane Wallis,Rose Byrne,Cameron Diaz,N/A,N/A,Will Gluck,Jada Pinkett-Smith,Will Smith,N/A,N/A,N/A,Will Gluck,Aline Brosh McKenna,N/A,N/A
Annie Brocoli dans les fonds marin,N/A,N/A,"$548,700",TVA,"December 19, 2003",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anohana The Movie: The Flower We Saw That Day,N/A,N/A,"$124,400",Eleven Arts,"January 18, 2014",Animation,1 hrs. 46 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anonymous (2016),N/A,N/A,"$11,500",Archstone,"December 2, 2016",Drama,1 hrs. 35 min.,R,N/A,N/A,Callan McAuliffe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Another Gay Sequel: Gays Gone Wild,N/A,N/A,"$131,800",TLA Releasing,"August 29, 2008",Comedy,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antarctic Edge,N/A,N/A,"$7,600",First Run,"April 17, 2015",Documentary,1 hrs. 12 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antarctica: Ice &amp; Sky,N/A,N/A,"$14,800",Music Box Films,"January 20, 2017",Documentary,1 hrs. 29 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Kaun Hai,N/A,N/A,"$76,400",AdLabs,"August 4, 2006",Foreign,2 hrs. 7 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antoine and Antoinette (2013 re-issue),N/A,N/A,"$10,600",Rialto,"September 25, 2013",Foreign,1 hrs. 24 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antonio Lopez 1970: Sex Fashion &amp; Disco,N/A,N/A,"$43,700",Film Movement,"September 14, 2018",Documentary,1 hrs. 35 min.,Unrated,N/A,"$73,122",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anything But Love,N/A,N/A,"$121,500",IDP,"November 14, 2003",Romantic Comedy,1 hrs. 39 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
