title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
The 6th Man,N/A,N/A,"$29,062,800",Buena Vista,"March 28, 1997",Sports Comedy,1 hrs. 49 min.,PG-13,N/A,N/A,Marlon Wayans,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7 Dias,N/A,N/A,"$22,000",Xenon Pictures,"August 17, 2007",Foreign,1 hrs. 35 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71 Into the Fire,N/A,N/A,"$206,900",JS Media &amp; Entertainment,"July 30, 2010",War,2 hrs. 0 min.,Unrated,N/A,"$20,967,660",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
78/52: Hitchcock's Shower Scene,N/A,N/A,"$37,100",IFC,"October 13, 2017",Documentary,1 hrs. 31 min.,Not Yet Rated,N/A,N/A,Jamie Lee Curtis*,Elijah Wood*,Guillermo del Toro*,Danny Elfman*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8 1/2 (re-issue),N/A,N/A,"$175,600",Kino,"April 9, 1999",Foreign,2 hrs. 18 min.,Unrated,N/A,"$98,760",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8 1/2 Women,N/A,N/A,"$710,500",Lions Gate,"May 26, 2000",Comedy,2 hrs. 0 min.,R,N/A,"$424,123",Toni Collette,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
85: The Greatest Team in Football History,N/A,N/A,"$122,800",Fathom,"January 29, 2018",Documentary,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9 1/2 Weeks,N/A,N/A,"$16,395,000",MGM,"February 21, 1986",Unknown,1 hrs. 58 min.,R,N/A,N/A,Kim Basinger,Mickey Rourke,N/A,N/A,N/A,N/A,Sidney Kimmel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Randy Newman*,N/A
9 to 5,N/A,N/A,"$346,733,500",Fox,"December 19, 1980",Comedy,1 hrs. 50 min.,PG,N/A,N/A,Lily Tomlin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
[Rec] 2,N/A,N/A,"$32,500",Magnolia,"July 9, 2010",Foreign / Horror,1 hrs. 25 min.,R,N/A,"$18,497,446",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A.X.L.,N/A,N/A,"$6,646,700",Global Road,"August 24, 2018",Family Adventure,1 hrs. 38 min.,PG,N/A,N/A,Thomas Jane,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aarakshan (Reservation),N/A,N/A,"$740,500",Reliance Big Pictures,"August 12, 2011",Foreign,N/A,Unrated,N/A,"$651,096",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aashayein (Wishes),N/A,N/A,N/A,Reliance Big Pictures,"August 27, 2010",Foreign,2 hrs. 0 min.,Not Yet Rated,N/A,"$3,836",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The ABC's of Death,N/A,N/A,"$24,800",Magnolia,"March 8, 2013",Horror,2 hrs. 9 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABCD (Any Body Can Dance),N/A,N/A,"$252,600",UTV Communications,"February 8, 2013",Foreign,2 hrs. 25 min.,Unrated,N/A,"$222,098",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABCD (Any Body Can Dance) 2,N/A,N/A,"$976,500",UTV Communications,"June 19, 2015",Musical,2 hrs. 34 min.,Unrated,N/A,"$892,133",Prabhu Dheva,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Abouna,N/A,N/A,"$4,800",Leisure Time,"February 20, 2004",Unknown,1 hrs. 24 min.,Unrated,N/A,"$3,290",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
